,state,year,Avg_rent_per_m2,Avg_baseRent,income_eur,population,new_dwellings,rent_to_income,construction_per_1000
0,Baden-Württemberg,2018,10.109733255650031,864.233614830072,25809,11069533,34073,0.0003917134819500961,3.078088298756596
1,Baden-Württemberg,2019,10.15647415251317,839.1801776384534,26164,11100394,33738,0.0003881850692750791,3.039351576169278
2,Baden-Württemberg,2020,10.441191267839038,867.5634562211981,25842,11103043,36313,0.0004040395970837798,3.270544840725196
3,Bayern,2018,9.741891929025549,777.6248265524625,26476,13076721,53097,0.00036795180272796303,4.060421568985069
4,Bayern,2019,9.867355146563527,774.398655648742,27072,13124737,51726,0.0003644856363240074,3.9411075437168765
5,Bayern,2020,10.008516223154896,775.354963744232,26703,13140183,55471,0.00037480868153971076,4.221478498434916
6,Berlin,2018,11.064549324050342,859.759213483146,21469,3644826,14327,0.0005153732975010639,3.930777491161444
7,Berlin,2019,10.908458636488788,819.4854175035869,22146,3669491,16769,0.0004925701542711455,4.569843610462596
8,Berlin,2020,10.975887702859552,826.9502587923026,22298,3664088,14704,0.0004922364204349966,4.013004054487774
9,Brandenburg,2018,7.157576229794269,504.0887006960557,21557,2511917,10288,0.0003320302560557716,4.0956767281721485
10,Brandenburg,2019,7.017567798065277,487.21569428891377,22181,2521893,9804,0.00031637743104753063,3.887555895511824
11,Brandenburg,2020,7.061370914544288,478.8011464968153,22890,2531071,9344,0.000308491520949947,3.691717853825515
12,Bremen,2018,8.141622755843539,621.9632991803279,21971,682986,1983,0.00037056223002337346,2.9034270102169004
13,Bremen,2019,8.156190857677634,580.7630553702468,22688,681202,1956,0.0003594936026832526,2.8713949753523917
14,Bremen,2020,8.232053730295217,584.8976,22419,680130,1510,0.0003671909420712439,2.220163792216194
15,Hamburg,2018,11.521023036519852,934.809699769053,25784,1841179,9700,0.0004468283833586663,5.268363369341058
16,Hamburg,2019,11.77679013307734,924.1070737327188,25925,1847253,9079,0.0004542638431273805,4.914865478632326
17,Hamburg,2020,12.128218023148277,959.1475648414986,25456,1852478,10640,0.0004764384829960825,5.743657954372467
18,Hessen,2018,9.851693736579598,812.299888106092,24546,6265809,16514,0.0004013563813484722,2.635573475029322
19,Hessen,2019,9.958266503348543,802.6339946342841,24843,6288080,17271,0.00040084798548277353,2.7466253610004965
20,Hessen,2020,10.074692971063492,800.8564128256512,24728,6293154,18786,0.00040742045337526254,2.985148623408866
21,Mecklenburg-Vorpommern,2018,6.323793481428074,406.64400477707005,20468,1609675,4661,0.00030896000984112146,2.895615574572507
22,Mecklenburg-Vorpommern,2019,6.501613999348639,409.9601973875181,21337,1608138,4891,0.00030471078405345825,3.041405650510093
23,Mecklenburg-Vorpommern,2020,6.565864610633974,406.13783324190894,21939,1610774,7009,0.0002992782082425805,4.351324270195571
24,Niedersachsen,2018,7.434361867534973,561.4427675675676,23088,7982448,24739,0.0003220011203887289,3.0991745890483724
25,Niedersachsen,2019,7.710342150112482,572.5843292825427,23731,7993608,25715,0.0003249059099958907,3.216945339326122
26,Niedersachsen,2020,7.834107966145073,583.3410598669624,23699,8003421,27852,0.00033056702671610923,3.4800118599283985
27,Nordrhein-Westfalen,2018,7.448524147668882,557.3004293398533,23146,17932651,41762,0.00032180610678600544,2.3288246673623436
28,Nordrhein-Westfalen,2019,7.661016736484554,557.5277427393552,23623,17947221,42939,0.00032430329494495004,2.3925152534757332
29,Nordrhein-Westfalen,2020,7.767159928074135,560.9905677267374,23819,17925570,43309,0.0003260909327878641,2.416045905374278
30,Rheinland-Pfalz,2018,8.1604868738538,626.1161602418746,23537,4084844,13320,0.00034670887852546206,3.260834440678763
31,Rheinland-Pfalz,2019,8.305516224104089,645.6417424242424,23983,4093903,11849,0.00034630847784280903,2.894304041888633
32,Rheinland-Pfalz,2020,8.533838480488154,657.6961732081911,24159,4098391,12016,0.00035323641212335583,2.9318822923435075
33,Saarland,2018,7.221857946891141,569.9151694915255,22032,990509,1497,0.00032778948560689637,1.5113441674936825
34,Saarland,2019,7.545008634142606,566.5228493894166,22922,986887,2040,0.00032916013585824127,2.0671059604595055
35,Saarland,2020,7.377495282269739,551.2538676844783,22501,983991,1581,0.00032787410702945374,1.6067220127013357
36,Sachsen,2018,6.12818852639827,411.51953490574977,21061,4077937,8116,0.0002909732931199026,1.990222016671665
37,Sachsen,2019,6.287508663572158,417.5380162988116,21725,4071971,8337,0.00028941351731057115,2.0474114378515957
38,Sachsen,2020,6.369920560073149,419.9719269933901,22138,4056941,10429,0.0002877369482371104,2.570656068205084
39,Sachsen-Anhalt,2018,5.7953426006661815,368.0571728359079,20379,2208321,3086,0.00028437816382875417,1.3974417668445847
